digit2,desc2,digit3,desc3,digit4,desc
27,"Printing, Publishing, and Allied",278,"Blankbooks, Looseleaf Binders, andBookbinding",2017,    Poultry And Egg Processing
27,"Printing, Publishing, and Allied",279,Service Industries for the Printing Trade,2020,    Dairy Products
28,Chemicals and Allied Products,281,Industrial lnorganic Chemicals,2021,    Creamery Butter
28,Chemicals and Allied Products,282,Plastics Materials and Synthetic Resins.Synthetic Rubber,2022,"    Cheese, Natural And Processed"
28,Chemicals and Allied Products,283,Drugs,2023,    Condensed And Evaporated Milk
28,Chemicals and Allied Products,284,"Soap, Detergents, and CleaningPreparations: Perfumes, Cosmetics, and OtherToilet Preparations",2024,    Ice Cream And Frozen Desserts
28,Chemicals and Allied Products,285,"Paints, Varnishes, Lacquers, Enamels, andAllied Products",2026,Fluid Milk
28,Chemicals and Allied Products,286,Industrial Organic Chemicals,2030,Preserved Fruits And Vegetables
28,Chemicals and Allied Products,287,Agricultural Chemicals,2032,    Canned Specialties
28,Chemicals and Allied Products,289,Miscellaneous Chemical Products,2033,    Canned Fruits And Vegetables
29,Petroleum Refining and Related,291,Petroleum Refining,2034,"    Dehydrated Fruits, Vegetables, Soups"
29,Petroleum Refining and Related,295,Asphalt Paving and Roofing Materials,2035,"    Pickles, Sauces, And Salad Dressings"
29,Petroleum Refining and Related,299,Miscellaneous Products of Petroleum and Coal,2037,    Frozen Fruits And Vegetables
30,Rubber and Miscellaneous Plastics Products,301,Tires and Inner Tubes,2038,    Frozen Specialties
30,Rubber and Miscellaneous Plastics Products,302,Rubber and Plastics Footwear,2040,    Grain Mill Products
30,Rubber and Miscellaneous Plastics Products,305,"Gaskets, Packing, and Sealing Devices anRubber",2041,    Flour And Other Grain Mill Products
30,Rubber and Miscellaneous Plastics Products,306,"Fabricated Rubber Products, NotElsewhere Classified",2043,    Cereal Breakfast Foods
30,Rubber and Miscellaneous Plastics Products,308,Miscellaneous Plastics Products,2044,    Rice Milling
31,Leather and Leather Products,311,Leather Tanning and Finishing,2045,    Blended And Prepared Flour
31,Leather and Leather Products,313,Boot and Shoe Cut Stock and Findings,2046,    Wet Corn Milling
31,Leather and Leather Products,314,"Footwear, Except Rubber",2047,"    Dog, Cat, And Other Pet Food"
31,Leather and Leather Products,315,Leather Gloves and Mittens,2048,"    Prepared Feeds, nec"
31,Leather and Leather Products,316,Luggage,2050,    Bakery Products
31,Leather and Leather Products,317,Handbags and other Personal LeatherGoods,2051,"    Bread, Cake, And Related Products"
31,Leather and Leather Products,319,Leather Goods.Not Elsewhere Classified,2052,    Cookies And Crackers
32,"Stone, Clay, Glass, and Concrete Products",321,Flat Glass,2060,    Sugar And Confectionery Products
32,"Stone, Clay, Glass, and Concrete Products",322,"Glass and Glassware, Pressed or Blown",2061,    Raw Cane Sugar
32,"Stone, Clay, Glass, and Concrete Products",323,"Glass Products, Made of Purchased Glass",2062,    Cane Sugar Refining
32,"Stone, Clay, Glass, and Concrete Products",324,"Cement, Hydraulic",2063,    Beet Sugar
32,"Stone, Clay, Glass, and Concrete Products",325,Structural Clay Products,2065,    Confectionery Products
32,"Stone, Clay, Glass, and Concrete Products",326,Pottery and Related Products,2066,    Chocolate And Cocoa Products
32,"Stone, Clay, Glass, and Concrete Products",327,"Concrete, Gypsum, and Plaster Products",2067,    Chewing Gum
32,"Stone, Clay, Glass, and Concrete Products",328,Cut Stone and Stone Products,2070,Fats And Oils
32,"Stone, Clay, Glass, and Concrete Products",329,"Abrasive, Asbestos, and Miscellaneous",2074,    Cottonseed Oil Mills
33,Primary Metal Industries,331,"Steel Works, Blast Furnaces, and Rollingand Finishing Mills",2075,    Soybean Oil Mills
33,Primary Metal Industries,332,lron and Steel Foundries,2076,"    Vegetable Oil Mills, nec"
33,Primary Metal Industries,333,Primary Smelting and Refining ofNonferrous,2077,Animal And Marine Fats And Oils
33,Primary Metal Industries,334,Secondary Smelting and Refining ofNonferrous,2079,Shortening And Cooking Oils
33,Primary Metal Industries,335,"Rolling, Drawing, and Extruding ofNonferrous",2080,Beverages
33,Primary Metal Industries,336,Nonferrous Foundries (Castings),2082,Malt Beverages
33,Primary Metal Industries,339,Miscellaneous Primary Metal Products,2083,Malt
40,Railroad Transportation,401,Railroads,2084,"    Wines, Brandy, And Brandy Spirits"
41,Local and Suburban Transit and Interurban Hig,411,Local and Suburban PassengerTransportation,2085,"    Distilled Liquor, Except Brandy"
41,Local and Suburban Transit and Interurban Hig,412,Taxicabs,2086,    Bottled And Canned Soft Drinks
41,Local and Suburban Transit and Interurban Hig,413,Intercity and Rural Bus Transportation,2087,"    Flavoring Extracts And Sirups, nec"
41,Local and Suburban Transit and Interurban Hig,414,Bus Charter Service,2090,    Misc. Foods And Kindred Products
41,Local and Suburban Transit and Interurban Hig,415,School Buses,2091,    Canned And Cured Seafoods
41,Local and Suburban Transit and Interurban Hig,417,Terminal and Service Facilities for MotorVehicle,2092,    Fresh Or Frozen Packaged Fish
42,Motor Freight Transportation and Warehousing,421,"Trucking and Courier Services, except Air",2095,Roasted Coffee
42,Motor Freight Transportation and Warehousing,422,Public Warehousing and Storage,2097,    Manufactured Ice
42,Motor Freight Transportation and Warehousing,423,Terminal and Joint Terminal Maintenance,2098,    Macaroni And Spaghetti
43,United States Postal Service,431,United States Postal Service,2099,"    Food Preparations, nec"
44,Water Transportation,441,Deep Sea Foreign Transportation of Freight,2100,    Tobacco Manufactures
44,Water Transportation,442,Deep Sea Domestic Transportation of Freight,2110,Cigarettes
44,Water Transportation,443,Freight Transportation on the Great Lakes-St.Lawrence Seaway,2120,Cigars
44,Water Transportation,444,"Water Transportation of Freight, NotElsewhere Classified",2130,Chewing And Smoking Tobacco
44,Water Transportation,448,Water Transportation of Passengers,2140,Tobacco Stemming And Redrying
44,Water Transportation,449,Services Incidental to WaterTransportation,2200,Textile Mill Products
45,Transportation by Air,451,"Air Transportation, Scheduled, and Air Courier",2210,"Weaving Mills, Cotton"
45,Transportation by Air,452,"Air Transportation, Nonscheduled",2220,"Weaving Mills, Synthetics"
45,Transportation by Air,458,"Airports, Flying Fields, and Airport Terminal",2230,"Weaving And Finishing Mills, Wool"
46,"Pipelines, except Natural Gas",461,"Pipelines, except Natural Gas",2240,Narrow Fabric Mills
47,Transportation Services,472,Arrangement of Passenger Transportation,2250,    Knitting Mills
47,Transportation Services,473,Arrangement of Transportation of Freightand Cargo,2251,"    Women's Hosiery, Except Socks"
47,Transportation Services,474,Rental of Railroad Cars,2252,"    Hosiery, nec"
47,Transportation Services,478,Miscellaneous Services Incidental toTransportation,2253,    Knit Outerwear Mills
48,Communications,481,Telephone Communications,2254,    Knit Underwear Mills
48,Communications,482,Telegraph and other Message Communications,2257,    Circular Knit Fabric Mills
48,Communications,483,Radio and Television Broadcasting Stations,2258,    Warp Knit Fabric Mills
48,Communications,484,Cable and other Pay Television Services,2259,"    Knitting Mills, nec"
48,Communications,489,"Communication Services, Not Elsewhere Classified",2260,"    Textile Finishing, Except Wool"
49,"Electric, Gas and Sanitary Services",491,Electric Services,2261,"    Finishing Plants, Cotton"
